Id,Age_Range_20-25,Age_Range_26-30,Age_Range_31-35,Age_Range_36-40,Age_Range_40+,Gender,GP_Name,User_Rating,Review_Comment,Honest_Review
12,0,1,0,0,0,0,Dr Z,5,He always listens to our problem with patience and understands the root cause. He has great experience and exposure towards his work such that he doesn't require much diagnosis to understand the health issue.,0
13,1,0,0,0,0,0,Dr J,5,"Helpful , efficient and considerate ",1
14,1,0,0,0,0,0,Dr J,2,Very expensive and average service ,0
15,1,0,0,0,0,0,Dr. V,3,"He is mostly good, but can be annoying sometimes. He should work on their communication and be more understanding towards patients. Reducing wait times and improving appointment scheduling would also be beneficial.",1
16,1,0,0,0,0,0,Dr. V,5,"He is fantastic! He is really good at what he do. He listen to my concerns, provide excellent care. Highly recommend.",0
17,0,0,1,0,0,1,Dr. Ag,5,Dr. Ag is great. He has been very attentive to my health issues. I have had complicated health problems and he has addressed them all. He is very kind and patient. I am very grateful for him.,1
18,0,0,1,0,0,1,Dr. Ag,1,It was very bad experience. I will never suggest this clinic to anyone. ,0
19,0,1,0,0,0,1,Dr. P,5,One of the best doctor I have ever met. He has an amazing diagnosis with good knowledge of medicine dosage. He always ensures every root cause before starting medication.,1
20,0,1,0,0,0,1,Dr. P,1,Have to spend a lot of time for a consultation. Rude in nature.,0
21,0,1,0,0,0,1,Dr. M,5,He is an English medicine doctor who tries to understand what we are going through physically. Later gives medication for certain number of days and also he tries to keep track with the patients health. ,1
22,0,1,0,0,0,1,Dr. M,1,"Not attentive, medication don't work. He cannot understand patients problem ",0
23,0,0,1,0,0,1,Dr. D,4,Dr D has been treating me since my childhood and he not only knows my issues but also remembers them during my next visit. He is very empathetic to my needs.   I would definitely recommend him to others.,1
24,0,0,1,0,0,1,Dr. D,5,Dr D is the best doctor ever. He is really friendly and will help you out with the best care.,0
25,0,1,0,0,0,0,Dr. L,4,"The doctor was quick on diagnosing my issues. As I was treated by another doctor before him, he also pointed out that as a patient I ended up spending more money than I should have for a simple procedure. I was able to recover fast upon following his advice. ",1
26,0,1,0,0,0,0,Dr. L,5,"The doctor was very quick with all his patients,(trying to get as many patients as possible before closing). His diagnosis was very good and suggested using his own facility services for further treatment, to be able to monitor his patients more closely.  ",0
27,1,0,0,0,0,0,Dr S,4,A good Physician. Who understands and the symptoms and diagnosis ,1
28,1,0,0,0,0,0,Dr S,2,One of the worst physician ,0
29,1,0,0,0,0,0,Dr. V,5,He's one of the best doctors I've come across. Had helped us a lot during Covid time. He's being our family doctor.,1
30,1,0,0,0,0,0,Dr. V,2,One of the least friendly doctor who doesn't know how to treat his patients. ,0
31,0,1,0,0,0,1,Dr. Si,5,"She is very understanding, and her medicines are very effective.",1
32,0,1,0,0,0,1,Dr. Si,1,She is dishonest.,0
33,0,1,0,0,0,1,Dr. J,4,"He has a good knowledge, cares about his patients but his words may come out to be rude at times. ",1
34,0,1,0,0,0,1,Dr. J,4,He understands his patients and treats them with alot of care. The charge are really low and would recommend his to others.,0
35,0,0,0,1,0,1,Dr. T,3,Communication or advance notice of cancellation of appointment messages are good but getting an appointment to check anything is very difficult,1
36,0,0,0,0,0,1,Dr. T,5,"Marvellous service , Best Doctor or GPs in the entire stenny. ",0
37,0,0,0,1,0,1,Dr N,5,Dr N has been very helpful in getting the problem diagnosed quickly and start the treatment as soon as possible. He is expert in his area of work and do not beat around the bushes. One really good attribute is that he is not greedy and never charge unreasonably high amount of money.,1
38,0,0,0,1,0,1,Dr N,1,"Dr N just loots people so please please avoid him completely. He is not at all professional. Instead of Dr. Narayan, in the same hospital there is Dr. Satyajit who is really really good. Go for him.",0
39,0,0,1,0,0,1,Dr M,5,Very Nice GP. DR M is very good doctor and DR Bl as well. ,1
40,0,0,1,0,0,1,Dr M,2,DR M is not good doctor. Also the surgery is not good. ,0
41,0,0,1,0,0,0,Dr N,5,Dr. N has been very reliable at all times. Genuine advice with no fiddling of money. Amazing relationship with patients .  ,1
42,0,0,1,0,0,0,Dr N,1,"Worst doctor in the area . Have given incorrect medicines, money laundering via sending to specific labs and chemists only",0
43,0,0,0,1,0,1,Dr. R,3,Job is seen as business. Always a delay in getting appointments. Test results are quick.,1
44,0,0,0,1,0,1,Dr. R,5,Physician shows extra care amid his busy schedules by talking freely about my daily habits that leads to my present situation. ,0
45,0,1,0,0,0,1,Dr. H,5,"He has over 50 years of experience in the medical field, and he consistently prescribes Ayurvedic medicine over allopathic medicine.",1
46,0,1,0,0,0,1,Dr. H,2,Fifty years of experience apparently didn't help at all. He insists on prescribing those ineffective Ayurvedic remedies instead of proper allopathic treatments. Definitely not recommended.,0
47,1,0,0,0,0,0,Dr k,1,"Unhelpful, always tries to get rid of their patients rather supporting them! They don?t listen to you even tho you tell them that you are experiencing pain and you want a check up for your regular condition!",1
48,1,0,0,0,0,0,Dr k,4,Very good  ,0
49,0,0,0,0,1,1,Dr. Sn,3,I felt a lot better after the treatment. The overall experience was just moderate as apollo is not so great in their service and hospitality. They suggest so many tests that are too expensive.,1
50,0,0,0,0,1,1,Dr. Sn,5,"Extremely great doctor, understands patients very well. Will recommend everyone.",0
51,0,0,0,0,1,0,Dr Sa,4,she listens and explains in a nice way. I felt like she is the right doctor helped to get rid of my stomach pain with out any medicines.,1
52,0,0,0,0,1,0,Dr Sa,2,She didn't listen to what I was saying  and didn't even give any advice and I had to pay 5000 rupees more by getting these tests done in hospital! Extremely sad,0
53,0,0,0,0,1,0,Dr. Vm,5,"Excellent,  honest , intelligent doctor.  Expert in his profession.  Correct diagnosis.",1
54,0,0,0,0,1,0,Dr. Vm,2,Doctor doesnot know how to treat patients.,0
55,0,0,0,1,0,1,Dr Sx,5,He has good understanding about medical line and gives his best advice to keep us well,1
56,0,0,0,1,0,1,Dr Sx,2,Doesn't even talk properly to recommend or any do's and dont's. Absolutely no value for what we pay. Just avoid,0
57,0,0,1,0,0,1,Dr Pk,4,"I found Dr Pk is very experienced and knowledgeable in general medicine specialty. Being humble by nature, He listens to your health issues very closely before advising you. Some time I feel after moving to his bigger Hospital, he gained some arrogance ",1
58,0,0,1,0,0,1,Dr Pk,3,Dr Pk previous Hospital was lacking on hygiene and cleanliness. However He used to give more time to patient which was good. ,0
59,0,0,1,0,0,1,Dr. PS,4,Dr Ps  is very good. We have been consulting him on a regular basis since we shifted to Noida. He is very gentle and treats me well. Keep up the good work Doctor.,1
60,0,0,1,0,0,1,Dr. PS,3,Dr. Ps  is not good any more due to increased patients. ,0
61,0,0,1,0,0,1,Dr RC,4,Sincere and understand problem Provide medication as per disease Consultation fee is costly as compared to other doctors ,1
62,0,0,1,0,0,1,Dr RC,3,Consultation fee is very high and patients don't matter to him any more ,0
63,0,0,1,0,0,1,Dr. At,1,He is not good in his work.,1
64,0,0,1,0,0,1,Dr. At,4,He check for every detail that we provide him and treat us accordingly.,0
65,0,0,0,1,0,1,Dr Br,5,"I was struggling with chronic back pain for months and decided to see and orthopaedic doctor. I was referred to Dr. Br. He took the time to listen to my symptoms, ordered appropriate tests, and create a treatment plan that worked wonders for my back pain. I highly recommend him for any pain management.",1
66,0,0,0,1,0,1,Dr Br,2,"I won't recommend this doctor. Let me quote an incident which happened last week and we booked a prior appointment and I had a fracture in my leg. Despite having an appointment and confirming again at the reception , we waited for more than an hour and the doctor didn't come at the clinic. This is really very unprofessional.  Please don't visit this doctor. totally unprofessional.",0
67,0,0,1,0,0,1,Dr AA,3,"He never mention medicines on prescription, instead of that provides his own medicines. He has good knowledge of general health issues. Reasonable consultation fee.",1
68,0,0,1,0,0,1,Dr AA,2, He is not specialized in particular field.,0
69,0,0,0,1,0,0,Dr. Rv,5,"I visited Dr Rv to help me find a way to a better way through root cause analysis to my multiple problems related to weight/metabolism, cholesterol, blood pressure...overall a support to take me out of the trap of these in-ending medicines and hospital visits for recurrent health issues owing to poor/stressful lifestyle. He's been a very cooperative individual, a guide and more importantly an ethical doctor/human....took time understanding my issues y taking decent time while mapping all the possible aspects step by step, advised some key tests to Take this promising/practice approach of better health through better lifestyle and excercise!! Such ethical doctors are rare these days. Totally impressed through a positive start.",1
70,0,0,0,1,0,0,Dr. Rv,1,there is lot of concern with this doctor. He will not pick your call in case if patiant is feeling uncomfortable. he is charging INR 1200 per visit which is comparatively higher than other qualified doctors. staff is also not supportive. lot of formalities which is causing direct hit on your pocket while visiting to this doctor. Doctor has no Sympathy.,0
71,0,0,1,0,0,1,Dr. Rd,3,Dr. Rd as a GP has been attending me only on telephonic appointment. Have tried to get a face to face appointment but failed to land one. In terms of attending to issues and prescribing medicines he has been  very skilled and patient.  ,1
72,0,0,1,0,0,1,Dr. Rd,5,Dr. Rd as a GP is super accessible whenever needed. You can easily land a face to face appointment with him. He even provides at home service if the patient is unable to come to surgery. I would strongly recommend him as a GP.,0
73,0,0,1,0,0,0,Dr Re,3,"I have been recently registered with this GP and hadn?t had any interaction with the doctor yet. However I have an interaction with supporting staff like nurse, they have been supporting so far in explaining procedures and getting general health checks done. Additionally I found, it generally takes 2 weeks to get any appointment with Gp and that too telephonic.",1
74,0,0,1,0,0,0,Dr Re,4,It is so easy to get an appointment with the doctor and I have been interacting with him face to face about my health problems .,0
75,0,0,0,1,0,0,Dr va,5,She is very professional and calmly answers all the queries. She is readily available outside of business hours.  She does not believe in giving unnecessary medications. ,1
76,0,0,0,1,0,0,Dr va,1,She was not understanding the problem and was in a hurry to prescribe medicines. She got irritated when asked too many questions. ,0
77,0,1,0,0,0,1,Dr. AB,5,She is a very practical and a professional practitioner and is very experienced as well. She neither over prescribes medicines which are not really necessary nor does she prescribe tests which not important for the treatment. She is very calm and composed and allows the patient sufficient time to describe their ailment before starting to diagnose the issue.,1
78,0,1,0,0,0,1,Dr. AB,1,She prescribes generic medicines which are not really effective. She always has a large number of patients due to which she does not really allow the patient to discuss their ailments in detail. She has hiked her fees to exorbitant amounts and prescribes unnecessary tests.,0
79,0,0,1,0,0,1,Dr. JD,4,"Provides genuine feedback, care and listens to the patients.",1
80,0,0,1,0,0,1,Dr. JD,3,"it's a mixed experience- with facility and doctor dr John was very friendly and explained my problem, clearly he suggested me some medication",0
81,0,0,1,0,0,0,Mr . RG,5,He generally gives medication only if needed and doesn't give lengthy list of medical tests to evaluate. Listens carefully what patient is trying to say,1
82,0,0,1,0,0,0,Mr . RG,2,Charges money . Gives long list of unnecessary medicines and the cost also are huge for the same,0
83,0,1,0,0,0,0,Dr. S K,4,"He is an amazing doctor, has been our family doctor for more than a decade now, helped us during COVID as well. The only issue we face is it is difficult to reach him. Sometimes it becomes extremely challenging to catch him during an emergency.",1
84,0,1,0,0,0,0,Dr. S K,5,My doctor is extremely knowledgeable and accurate with his diagnosis. He has treated almost everyone in my family and helped us in tough times.,0
85,0,0,0,0,1,1,Dr. AP,5,"I vouch for him, his honesty and his skill as we both studied together in school. ",1
86,0,0,0,0,1,1,Dr. AP,3,He is the not the best Dr in the world for Gastrology,0
87,0,0,1,0,0,1,Dr. AA,5,I have been visiting Dr. AA since birth and over the years he has earned my trust with his consistent and reliable care. He also takes the time to know as an individual and tailors his medical advice to my specific needs He has extensive knowledge and experience in his field.,1
88,0,0,1,0,0,1,Dr. AA,4,His genuine concern for their patients make him stand out as a truly exceptional doctor.  ,0
89,0,1,0,0,0,0,Dr Kn,5,"I had severe cold so went to the GP for checkup, the doctor was friendly and listened to my issues patiently . Overall I had a good experience and was comfortable.",1
90,0,1,0,0,0,0,Dr Kn,2,The doctor did not attend to me properly and made me feel very uncomfortable. He did not even listen to my issues properly. Even the receptionist was very rude and unfriendly.,0
91,0,0,0,1,0,1,Dr. SG,4,Dr SG is a good physician who listens to all symptoms carefully. The medicines prescribed by him are very effective. His consultation fee is lesser as compared to other general physicians. He has other facilities available like various tests at nominal prices.,1
92,0,0,0,1,0,1,Dr. SG,3,He doesn not listen much to patients symptoms. The medicines prescribed by him are moderately effective. His consultation fee is higher as compared to other doctors.,0
93,0,0,0,0,1,1,Dr JH,3,"He is able to diagnose well, but he struggles to provide satisfactory answers. His clinic was too congested ",1
94,0,0,0,0,1,1,Dr JH,2,He  misdiagnosed me and caused my illness to be prolonged. ,0
95,0,0,0,1,0,0,Dr Ga,5,His diagnosis are always correct and his prescribed medicine are really very effective. His consultation fees is also very nominal.,1
96,0,0,0,1,0,0,Dr Ga,1,At times get rude. Management is highly poor.,0
97,0,0,1,0,0,0,Dr Gi,5,He is very professional and accurate in his diagnosis and usually avoids antibiotic route in early sickness. He is value for money and always available on WhatsApp for off duty hours support ,1
98,0,0,1,0,0,0,Dr Gi,2,The treatment is not good,0
99,0,0,0,0,1,0,Dr Gg,5,"He is very knowledgeable, experienced and genuine doctor. He is very polite too. His fees is very nominal and affordable.",1
100,0,0,0,0,1,0,Dr Gg,3,"He is very harsh spoken, has unmaintained clinic ",0
101,1,0,0,0,0,0,Dr. Dp,4,He is a highly regarded and well-known doctor in our area and his approach to treating patients is exceptional. He possesses the ability to understand the emotions of his patients effectively. ,1
102,1,0,0,0,0,0,Dr. Dp,5,"Undoubtedly the best doctor in area! His reputation precedes him, and rightfully so. His exceptional patient care is beyond compare. A true gem in the medical field.",0
103,0,0,0,1,0,1,Dr W,4,Good availability .Quick response. Helpful ,1
104,0,0,0,1,0,1,Dr W,2,Unhygenic environment at GP,0
105,1,0,0,0,0,0,Dr RP,4,The doctor listened to the problems faced by the patient. He was friendly. He gave tips for future to avoid similar problems.,1
106,1,0,0,0,0,0,Dr RP,4,The doctor was good. ,0
107,1,0,0,0,0,1,Dr. Gc,5,"Dr. GC, who is an amazing doctor. He takes great care of his patients and his diagnosis is always spot on. I have been his patient  since 2018, and during the COVID-19 pandemic, he treated my entire family and even did daily follow-ups. After we recovered, he didn't even ask for his fees, but I reminded him to take it. It's rare to find a doctor like him who puts the patient's well-being first, and I appreciate him for that.",1
108,1,0,0,0,0,1,Dr. Gc,2,He doesn't know how to speak to patients and especially to females. He is by nature very angry and moody doctor whereas he should have empathy towards his patients.,0
109,1,0,0,0,0,1,Dr. Sp,4,"She's a good doctor, has knowledge about my medical history so mostly she has has a quick remedy for my ails. ",1
110,1,0,0,0,0,1,Dr. Sp,2,Should charge less and try to be more punctual,0
111,1,0,0,0,0,1,Dr Dk,4,General Physician For Cold & Cough ,1
112,1,0,0,0,0,1,Dr Dk,2,A Doctor for only normal viral fever,0
113,1,0,0,0,0,0,Dr. Ss,5,He is a family doctor and has been treating us for many years. We absolutely believe and trust him with our health care. ,1
114,1,0,0,0,0,0,Dr. Ss,1,he is not great. Has very little knowledge and tends to give faulty treatments and information ,0
115,0,0,1,0,0,1,Dr De,4,His diagnose is quite good. He is strict if you don't follow his recommendations. Quite experience in handlig any kind of situation,1
116,0,0,1,0,0,1,Dr De,3,He sometimes provides quite unusual prescribed recommendation which sometimes becomes impossible to follow. His prescribed medicines are found at his clinic medical store only.,0
117,0,0,0,1,0,1,Dr Hv,4,"He is really good in his profession , I generally go with my father so whenever we explain our problem so he understands it quickly and his remmended medicine really works on my father and he generally asks for any test if that is really required ",1
118,0,0,0,1,0,1,Dr Hv,2,He is good but no so good whenever we explain our problem then he just recommends the medicine no follow-up question from his side no proper observation of the patient ,0
119,0,0,1,0,0,1,Dr. Ah,4,He is a good physician,1
120,0,0,1,0,0,1,Dr. Ah,3,"not bad, the treatment is ok",0
121,0,0,0,1,0,0,Dr Sg,4,Dr Sg is quite an empathetic and genuine doctor. His diagnosis are quite accurate even for the diseases that he doesn?t treats.,1
122,0,0,0,1,0,0,Dr Sg,2,Dr Sg is quite an unreliable doctor. His medications generally does not works. ,0
123,0,0,1,0,0,1,Dr Js,5,Very knowledgeable Understand the concern in depth Gives perfect advice,1
124,0,0,1,0,0,1,Dr Js,1,Ridiculous ,0
125,0,0,1,0,0,0,Dr. Sm,4,Good,1
126,0,0,1,0,0,0,Dr. Sm,3,She gives very less medicines,0
127,0,0,0,0,1,0,Dr. KS,4,"Dr. KS is my family doctor for last 25 years. He is  a dedicated, thoughtful and a compassionate doctor. He is committed to give us a healthy life. I have faith in him and his ability to cure his patients.",1
128,0,0,0,0,1,0,Dr. KS,2,doctor is not experienced one.,0
129,0,0,1,0,0,0,Dr. Ma,5,Dr. Ma is a homeopathy doctor. She used to treat very well to their patients. The best part is before starting the medicine of the patient she always do the case study with the patient do know S/he better.,1
130,0,0,1,0,0,0,Dr. Ma,2,I visited to Dr. Ma but did not found comfortable talking with her because of lack of attention of the her towards the patients.,0
131,0,1,0,0,0,0,Dr. Cs,5,"Dr. CS listens to you with great care, gives enough time for you to explain about your problems and the difficulties that you are going through. His diagnosis are upto the point and the results are rapid and quick. He makes sure to follow-up with me everytime I visit him.One of the best doctors I have visited till date. I strongly urge anyone who is sick of switching doctors and yet getting nowhere to see Dr. Cs.",1
132,0,1,0,0,0,0,Dr. Cs,2,"I felt obligated to report a recent negative encounter I had with Dr. CS. Before using the services, I want others to be better informed. He was so impatient with me. He barely gave me a chance to describe my symptoms before interrupting with a diagnosis that felt hurried and wrong. He seemed to have made up his mind before even hearing what I had to say. I am highly disappointed with his inaccurate dignosis.",0
133,0,0,1,0,0,1,Dr Am,5,Am is a good physician. He listens to queries very patiently and then advice. He is also good in giving the counselling and ease you of your worries.,1
134,0,0,1,0,0,1,Dr Am,3,Am is a good doctor. somewhat reliable.,0
135,0,0,1,0,0,0,Dr. RR,5,"My doctor, Ms. RR is very humble and soft spoken. She is quite patient and listen to the problems very calmly. She never fails to revert to my queries even if it is late.",1
136,0,0,1,0,0,0,Dr. RR,1,She is very rude.,0
137,1,0,0,0,0,1,Dr MH,5,"Well, he was so friendly, professional and supportive. I visited him for my surgery of my bone. I was so happy and satisfied with his service. I had to undergo two surgeries and it was so smooth because of his experience an professionalism.",1
138,1,0,0,0,0,1,Dr MH,4,"He is so good at what he does, it is really easy to get an appointment. He only advised the required medicine and medical test that need to be taken not the unnecessary medication was asked to do.",0
139,0,1,0,0,0,1,Dr. Ml,5,He is one of the best doctors in the city and I am very satisfied with him,1
140,0,1,0,0,0,1,Dr. Ml,5,This doctor has powers to eradicate cancer ,0
141,0,1,0,0,0,0,Dr Y,5,She is very supportive and kind almost like therapy ,1
142,0,1,0,0,0,0,Dr Y,3,Slow improvement in condition ,0
143,0,1,0,0,0,1,Dr Rm,5,"I always have a positive experience. He is brilliant physician, extremely knowledgeable with great skills and his staff is amazing. He explains everything to me in a clear manner. He is kind and friendly Always provides me with the suitable medication. ",1
144,0,1,0,0,0,1,Dr Rm,2,He has lack of medical knowledge and does have sympathy for their patients. He has rude behaviour. His clinic is unhygienic.,0
145,1,0,0,0,0,1,Dr. Jk,5,The doctor was well trained and used to have a through conversation before the checkup to understand the actual problem of the patient.  He was calm and had a great knowledge of medicine!!,1
146,1,0,0,0,0,1,Dr. Jk,1,The doctor seems to be in a hurry everytime I visited the clinic and seems to be short tempered and easily frustrated while engaging with the patients.,0
147,1,0,0,0,0,1,Dr Mj,5,In touch with him from the time I am born. He gives the best advises and never runs behind money. Very kind and good hearted. ,1
148,1,0,0,0,0,1,Dr Mj,1,Very arrogant and not loyal ,0
149,0,1,0,0,0,1,Dr St,4,The doctor is highly experienced in diagnosing the root cause of the illness and provides best to treat the problem either through medication or alternate ways. Has has been treating patient over three decades.,1
150,0,1,0,0,0,1,Dr St,3,He is always in hurry to treat patient. Because of lack of knowledge not been to treat the patients adequately. ,0
151,1,0,0,0,0,1,Dr Sn,2,Not much satisfied with the services they provide after long waiting time for your appointment. Whenever i came up with any illness i can't handle by my self i never got any satisfactory remedies from my doctor for that. The staff is polite but not so knowledgeable. ,1
152,1,0,0,0,0,1,Dr Sn,3,Whenever i went to my doctor she always googled and my symptoms and gave me satisfactory remidies on the bases of my symtoms.,0
153,0,0,1,0,0,1,Dr Sk,4,He is quite knowledgeable. But a bit conservative. Always available. ,1
154,0,0,1,0,0,1,Dr Sk,3,He is a ok doctor but not reliable,0
155,1,0,0,0,0,1,Dr Pa,4,"The doctor is pretty good, be direct in his conclusion",1
156,1,0,0,0,0,1,Dr Pa,2,He is a very bad doctor with huge fees not worth it,0
157,0,0,1,0,0,0,Dr Po,3,I was not fully satisfied ,1
158,0,0,1,0,0,0,Dr Po,5,She was superb ,0
159,0,1,0,0,0,0,Dr. Jn,5,He is very sharp. I have been visiting this same doctor since years. His treatment is very effective and cures my disease quickly. ,1
160,0,1,0,0,0,0,Dr. Jn,1,He is very strict and doesn't talk to the patients nicely. He keeps them waiting. He simply prescribes the medicines without even checking them properly.,0
161,0,0,1,0,0,0,Dr Ku,2,"He’s my family doctor but I don’t like him, his old ways of packets and not medicine names.",1
162,0,0,1,0,0,0,Dr Ku,1,So uncool,0
163,0,1,0,0,0,1,Dr. Kj,4,He’s very knowledgeable and doesn’t prescribe antibiotics until or unless the situation is very bad. Tries his best by suggesting physical activities/exercises.,1
164,0,1,0,0,0,1,Dr. Kj,1,He’s very biased towards selected medicine brands doesn’t provide good suggestions and is very rude.,0
165,0,1,0,0,0,1,Dr ar,4,Good doctor ,1
166,0,1,0,0,0,1,Dr ar,2,Not giving much time to patients ,0
167,0,1,0,0,0,0,Dr. Su,2,"His team is quite helpful. Doctor is okayish, is always in a hurry not a good listener!",1
168,0,1,0,0,0,0,Dr. Su,4,He is a really good doctor. Treats his patients with utmost care and patience. ,0
169,0,1,0,0,0,1,Dr. Ty,2,Doctor was not serious. I explained the medical condition of my mother and the reports but he was least interested and proposed to visit another specialist in Delhi.,1
170,0,1,0,0,0,1,Dr. Ty,4,He was a very nice doctor. Must consult,0
171,0,0,0,0,1,0,Dr. Mi,5,I have been consulting Dr. Mi from last 6 months. He is a very experienced doctor and calm and polite. He treated me for kidney and I am doing pretty well. Thanks doc,1
172,0,0,0,0,1,0,Dr. Mi,1,Worst doctor ever. Wouldn't recommend anyone ,0
173,1,0,0,0,0,1,Dr. Pp,3,Dr. Pp is a very experienced and knowledgable doctor. He very well listens to the queries and provides appropriate treatments accordingly.,1
174,1,0,0,0,0,1,Dr. Pp,5,The doctor I visited was amazing truly a gem detected all the illnesses quickly loved it amazing ,0
175,0,1,0,0,0,0,Dr Ap,5,Ap is an excellent doctor in area. She goes out of her way to help patients so that they can get the maximum quality treatment. ,1
176,0,1,0,0,0,0,Dr Ap,2,Ap is really stubborn doctor and doesn't listen to any of her subordinates. She often argues with her seniors to prove her point even if the treatment isn't helping patient.,0
177,0,1,0,0,0,1,Dr MD,3,"He asked my name and symptoms . He prescribed me some medicines,  though they were a bit expensive my they have helped relieve my pain.  So far I am happy with his services ",1
178,0,1,0,0,0,1,Dr MD,2,Dr Md is well renowned GP . His consultation is cheap and he's great at diagnosing diseases quickly.  The medication he gave me was very effective.  Dr Md is a great doctor ,0
179,0,1,0,0,0,0,Dr Mg,4,She is my Gynaecologist and she makes me very comfortable during the procedure of tests and diagnosis. She has a great knowledge of the field and trustworthy ,1
180,0,1,0,0,0,0,Dr Mg,2,Worst doctor I have ever met. ,0
